id_str,created_at,full_text(utf-8)
1312864232711520257,2020-10-04 21:16:39,https://t.co/0Bm9W2u1x7
1312845448697262084,2020-10-04 20:02:01,https://t.co/8xHPsM2N3B
1312842736563879936,2020-10-04 19:51:14,"I really appreciate all of the fans and supporters outside of the hospital. The fact is, they really love our Country and are seeing how we are MAKING IT GREATER THAN EVER BEFORE!"
1312824094677663745,2020-10-04 18:37:09,https://t.co/gsFSghkmdM
1312769595326042113,2020-10-04 15:00:36,RT @RepAndyBiggsAZ: Many of us in #AZ05 are praying for President @realDonaldTrump as he battles COVID-19. He’s looking and sounding very g…
1312725461139587073,2020-10-04 12:05:13,"RT @RedState: Ouch! Three Astronauts Endorse AZ's GOP Senator Over Her Astronaut Senate Challenger 
 https://t.co/xFDcONhL0Y"
1312724210746306563,2020-10-04 12:00:15,"RT @DiamondandSilk: .@realDonaldTrump, we want to say Thank you for being the best President ever.  Thank you for being our voice and Thank…"
1312723795845828608,2020-10-04 11:58:36,"RT @BlackVoices4DJT: President @realDonaldTrump's Platinum Plan is designed to bring opportunity, security, fairness and prosperity to Blac…"
1312713748398866432,2020-10-04 11:18:41,Thank you so much! https://t.co/UL6P5lRjZI
1312525833505058816,2020-10-03 22:51:58,https://t.co/gvIPuYtTZG
1312449034154504192,2020-10-03 17:46:48,OUR GREAT USA WANTS &amp; NEEDS STIMULUS. WORK TOGETHER AND GET IT DONE. Thank you!
1312442195509563392,2020-10-03 17:19:38,"Doctors, Nurses and ALL at the GREAT Walter Reed Medical Center, and others from likewise incredible institutions who have joined them, are AMAZING!!!Tremendous progress has been made over the last 6 months in fighting this PLAGUE. With their help, I am feeling well!"
1312233807991496704,2020-10-03 03:31:34,"Going welI, I think! Thank you to all. LOVE!!!"
1312158400352972800,2020-10-02 22:31:56,https://t.co/B4H105KVSs
1311892190680014849,2020-10-02 04:54:06,"Tonight, @FLOTUS and I tested positive for COVID-19. We will begin our quarantine and recovery process immediately. We will get through this TOGETHER!"
1311859538279239686,2020-10-02 02:44:21,"Hope Hicks, who has been working so hard without even taking a small break, has just tested positive for Covid 19. Terrible! The First Lady and I are waiting for our test results. In the meantime, we will begin our quarantine process!"
1311807166538551299,2020-10-01 23:16:15,RT @realDonaldTrump: Will be interviewed tonight by @seanhannity at 9:00. Enjoy!@FoxNews
1311806882210865152,2020-10-01 23:15:07,https://t.co/KIFQOAzeUw
1311804792600227841,2020-10-01 23:06:49,https://t.co/VHNdE0OLaV
1311804730226675718,2020-10-01 23:06:34,https://t.co/raNjVHaCOE
1311795005107953670,2020-10-01 22:27:55,"RT @gregkellyusa: White House Correspondents, 9 out of 10 of them, are shallow and silly—-with Zero historical sense.  They are outclassed…"
1311794848622678017,2020-10-01 22:27:18,"RT @MaryVought: Trump poll watcher kicked out of election office in Philly.

The office just so happens to be run by the Center for Tech an…"
1311794066003243008,2020-10-01 22:24:11,RT @seanmdav: Critical Race Theory Is A Classic Communist Divide-And-Conquer Tactic https://t.co/pLFn96Z5GZ
1311793858364215303,2020-10-01 22:23:22,"RT @joshdcaplan: CBS NEWS: Facebook removes 216 Trump ads about Biden, coronavirus and refugees"
1311793769612795905,2020-10-01 22:23:01,RT @Equis36: @SteveScully The next presidential debate moderator is a Never TRUMPER. In his own words.  Can he be impartial?  I think not.
1311793693763014656,2020-10-01 22:22:43,I’m used to it! https://t.co/HYmS2s4gEK
