id_str,created_at,full_text(utf-8)
1312849649296986113,2020-10-04 20:18:42,"RT @EmineErdogan: Meclisimizin, yeni yasama yılında hayvanlara haklarını eksiksiz teslim ederek tüm vicdanları rahatlatacak yasayı bir an ö…"
1312497535139766272,2020-10-03 20:59:32,"Ömrünü İslam’ı öğretmeye, anlatmaya ve ahlaklı nesiller yetiştirmeye vakfetmiş olan, İstanbul İlim ve Kültür Vakfı Başkanı Mehmet Fırıncı’ya Allah’tan rahmet, yakınlarına ve sevenlerine başsağlığı diliyorum. Mekânı cennet olsun."
1312440416722210816,2020-10-03 17:12:33,"Türk Konseyi’nin kuruluş yıl dönümünü de temsil eden 3 Ekim Türk Dili Konuşan Ülkeler İş Birliği Günü'nü gönülden tebrik ediyorum.

Türk Konseyi olarak birliğimizin, beraberliğimizin ve dayanışmamızın her alanda artarak devam etmesi için çalışmaya devam edeceğiz. https://t.co/BoIWoHO86T"
1312391960037003264,2020-10-03 14:00:00,"Bugün açılışını gerçekleştirdiğimiz Reyhanlı Barajı’nın ülkemize, milletimize, şehrimize hayırlı olmasını diliyorum. https://t.co/2NSxqIL9Yj"
1312355503893368839,2020-10-03 11:35:09,Reyhanlı Barajı ve çeşitli projelerin açılış törenini gerçekleştiriyoruz. https://t.co/KeCU6GolV4
1312105075150475264,2020-10-02 19:00:02,"Unutulmamalıdır ki; cezasız kalan her suç, faili daha da azgınlaştırır. Hesap sorulmayan her cürüm, yeni zulümlere davetiye çıkarır. https://t.co/JI7fkpPdpB"
1312089969612083201,2020-10-02 18:00:00,"Türkiye’nin geleceği bizim çalışmamıza, değer üretmemize, hizmet üretmemize, gayret göstermemize bağlıdır. https://t.co/EXw05ptuJG"
1312059773152489474,2020-10-02 16:00:01,"Bugün resmî açılışını gerçekleştirdiğimiz Konya Şehir Hastanemizin ülkemize, milletimize, şehrimize hayırlı olmasını diliyorum. https://t.co/UYzwlaQOJ8"
1312038046062325767,2020-10-02 14:33:41,"AK Parti'mizin kurucularından, eski Bayındırlık ve İskân Bakanımız, yol ve dava arkadaşımız Zeki Ergezen beyefendinin vefatından dolayı derin üzüntü duydum.

Zeki Ergezen'e Allah’tan rahmet, ailesine ve sevenlerine başsağlığı diliyorum. Mekânı cennet olsun."
1312031908042338309,2020-10-02 14:09:17,AK Parti Konya İl Teşkilatımız ile birlikteyiz. https://t.co/hCX5jI35Xp
1312006575893217280,2020-10-02 12:28:38,Konya Şehir Hastanemizin açılışını gerçekleştiriyoruz. https://t.co/UkyE9kY61u
1311966038242873344,2020-10-02 09:47:33,"I wish a speedy recovery to U.S. President @realDonaldTrump and @FLOTUS Melania Trump, who tested positive for COVID-19.

I sincerely hope that they will overcome the quarantine period without problems and regain their health as soon as possible."
1311727583395012614,2020-10-01 18:00:01,"İşgal altındaki topraklarını kurtarma ve vatanlarını koruma mücadelelerinde, Azerbaycanlı kardeşlerimizin yanındayız. 

Bölgede kalıcı barışın yolu, Ermenistan'ın işgal ettiği her karış Azerbaycan toprağından geri çekilmesinden geçmektedir. https://t.co/NqX2JwIBb9"
1311704931594772482,2020-10-01 16:30:00,"Türkiye Büyük Millet Meclisimizin yasama alanında temsilcisi olduğu kadim ve asil duruş, evlatlarımıza bırakacağımız en kıymetli hazinedir.🇹🇷 https://t.co/LpsQgl2sQM"
1311689830670233600,2020-10-01 15:30:00,"İnşallah bu virüsü hep birlikte yenecek, hep birlikte kol kola sağlıklı, huzurlu, müreffeh, esenlik dolu bir geleceğe yürümeyi sürdüreceğiz. https://t.co/cAKlrjeaJQ"
1311686687706284040,2020-10-01 15:17:30,"RT @tcbestepe: Cumhurbaşkanı Erdoğan'ın, BM Dördüncü Kadın Konferansı'nın 25. yıl dönümü etkinliğine gönderdiği video mesajı https://t.co/R…"
1311670698964856834,2020-10-01 14:13:58,Türkiye’yi her alanda olduğu gibi ekonomide de 2023 hedeflerimize ulaştıracağız. https://t.co/S60R9vC6p0
1311664664586137600,2020-10-01 13:50:00,"Asırlarca birlikte yaşadığımız mazlum Filistin halkının her platformda haklarını dile getirmeyi, ülkemiz ve milletimiz adına bir şeref kabul ediyoruz. https://t.co/lbmIydwKZV"
1311659634185433089,2020-10-01 13:30:00,Akdeniz’de diyalog kanallarını açık tutan kararlı duruşumuzu sonuna kadar koruyacağız. https://t.co/w5V6KcsfN2
1311654598289969152,2020-10-01 13:10:00,"Sınırlarımızı terör örgütlerine ve onları maşa olarak kullananlara teslim etmedik, etmeyeceğiz. https://t.co/zV5Jz765yv"
1311649565192454145,2020-10-01 12:50:00,"Türkiye, dünyadaki aşı çalışmalarını yakından takip etmenin yanında, kendi aşısını üretme konusunda da yoğun bir gayret içindedir https://t.co/PrN8Zw5vEl"
1311644280318881792,2020-10-01 12:29:00,"Türkiye olarak, insanlığı karşı karşıya bulunduğu tehditlerden kurtaracak çözümleri gündeme getirmenin, tartışmanın ve inşallah neticeye ulaştırmanın gayreti içindeyiz. https://t.co/3gR0bDDZh5"
1311638685281062912,2020-10-01 12:06:46,"Gelişmiş ülkelerin dahi vatandaşlarını kendi hallerine terk ettiği salgın döneminde, Türkiye içeride ve dışarıda gerçekten erdemli bir duruş ortaya koymuştur. https://t.co/oSxQgu4s7e"
1311625838371246080,2020-10-01 11:15:43,TBMM 27. Dönem 4. Yasama Yılı Açılışı https://t.co/iXfX1aHEgL
1311332752483135490,2020-09-30 15:51:06,"RT @tcbestepe: Cumhurbaşkanı Erdoğan'ın, BM 75. Genel Kurulu etkinlikleri kapsamında düzenlenen Biyolojik Çeşitlilik Zirvesi’ne gönderdiği…"
1310958380555612160,2020-09-29 15:03:29,"Vefat haberinden derin üzüntü duyduğum Kuveyt Emiri Sabah el-Ahmed el-Cabir es-Sabah'a Allah’tan rahmet, Türk milleti adına dost ve kardeş Kuveyt halkına başsağlığı diliyorum."
1310957742107090945,2020-09-29 15:00:56,RT @rterdogan_ar: تلقينا ببالغ الحزن والأسى نبأ وفاة أمير دولة الكويت الشيخ صباح الأحمد الجابر الصباح، وأعرب باسم الشعب التركي عن مشاعر الت…
1310610218141626369,2020-09-28 16:00:00,"Türkiye, Akdeniz’de gerilimden değil; barıştan, iş birliğinden, hakkaniyet ve adaletten yanadır. https://t.co/kSnnnsfvtM"
1310606719588982785,2020-09-28 15:46:06,"Türkiye'nin her zaman Azerbaycan'ın yanında olduğunu güçlü bir şekilde teyit eden bu ortak bildiride imzası olan siyasi partilerimize şahsım ve Milletimiz adına teşekkür ediyor, Gazi Meclisimizi bu asil ve güçlü duruşundan dolayı gönülden tebrik ediyorum. https://t.co/HpQ6ngheQp"
1310589041499402244,2020-09-28 14:35:51,RT @trpresidency: President @RTErdogan: Turkey’s Eastern Mediterranean policies are built upon those two bases: https://t.co/oWpPxBqkvS
1310580017802379264,2020-09-28 14:00:00,Türkiye’nin Doğu Akdeniz politikası şu iki temel üzerinde yükseliyor: https://t.co/PpsipYTZBp
1310538215712059393,2020-09-28 11:13:53,Uluslararası Deniz Hukuku ve Doğu Akdeniz Sempozyumu https://t.co/WMfJvtac7v
1310172532159459330,2020-09-27 11:00:48,"Bugün yaptığımız telefon görüşmesinde dirayetli ve kararlı duruşuna bir kez daha şahit olduğum Azerbaycan Cumhurbaşkanı kardeşim İlham Aliyev'e ifade ettiğim gibi, Türkiye ""tek millet, iki devlet"" anlayışıyla, Azerbaycanlı kardeşleriyle dayanışmasını güçlendirerek sürdürecektir."
1310172187136061441,2020-09-27 10:59:25,"Ermeni halkını, kendilerini felakete sürükleyen yönetimlerine ve onları bir kukla gibi kullananlara karşı geleceklerine sahip çıkmaya davet ederken, tüm dünyaya işgale ve zulme karşı verdikleri mücadelede Azerbaycan'ın yanında yer alma çağrısı yapıyoruz."
1310171888488976387,2020-09-27 10:58:14,Ermenistan’ın tahrikkar saldırganlığı karşısında gerekli ve yeterli bir tepki ortaya koyamayan uluslararası toplum çifte standardını bir kez daha göstermektedir. Yaklaşık 30 yıldır ihmalkar tutumunu sürdüren Minsk üçlüsü de çözüm odaklı davranmaktan maalesef çok uzaktadır.
1310171569684197376,2020-09-27 10:56:58,"Azerbaycan'a yönelik saldırılarına bir yenisini ekleyen Ermenistan, bölgede barışın ve huzurun önündeki en büyük tehdit olduğunu bir kere daha göstermiştir. Türk Milleti her zaman olduğu gibi bugün de tüm imkanlarıyla Azerbaycanlı kardeşlerinin yanındadır."
1309930743955685376,2020-09-26 19:00:01,"Türkiye, kamu tarafı ve özel sektörüyle ne kadar güçlü olursa, sosyal dokusu ve ekonomisiyle ne kadar sağlam olursa, geleceğine de o derece güvenle bakacaktır. https://t.co/zfnUxH68ve"
1309908090117029888,2020-09-26 17:30:00,"Bizim medeniyetimiz, insan medeniyetidir, ilim medeniyetidir, irfan medeniyetidir, hikmet medeniyetidir. https://t.co/lYcfVcgDvI"
1309896611917631489,2020-09-26 16:44:23,Gaziantep'in Şehitkamil ilçesinde vatandaşlarımızla birlikteyiz. https://t.co/Q2QrRPBOyF
1309868678310178818,2020-09-26 14:53:23,Gaziantep'te 300 fabrikanın toplu açılış törenini gerçekleştiriyoruz. https://t.co/N5kepG6MGH
1309855244965359616,2020-09-26 14:00:00,Biz Türkiye’yi 2023 hedefleriyle buluşturmak için var gücümüzle çalışıyoruz. Gençlerimiz de inşallah 2053 ve 2071 vizyonlarıyla bu tohumları ulu çınarlara dönüştüreceklerdir. https://t.co/HBh4kJdh3a
1309836997704511489,2020-09-26 12:47:30,#TEKNOFEST2020 Gaziantep’teyiz. https://t.co/VWkmiwCT3N
1312849649296986113,2020-10-04 20:18:42,"RT @EmineErdogan: Meclisimizin, yeni yasama yılında hayvanlara haklarını eksiksiz teslim ederek tüm vicdanları rahatlatacak yasayı bir an ö…"
1312497535139766272,2020-10-03 20:59:32,"Ömrünü İslam’ı öğretmeye, anlatmaya ve ahlaklı nesiller yetiştirmeye vakfetmiş olan, İstanbul İlim ve Kültür Vakfı Başkanı Mehmet Fırıncı’ya Allah’tan rahmet, yakınlarına ve sevenlerine başsağlığı diliyorum. Mekânı cennet olsun."
1312440416722210816,2020-10-03 17:12:33,"Türk Konseyi’nin kuruluş yıl dönümünü de temsil eden 3 Ekim Türk Dili Konuşan Ülkeler İş Birliği Günü'nü gönülden tebrik ediyorum.

Türk Konseyi olarak birliğimizin, beraberliğimizin ve dayanışmamızın her alanda artarak devam etmesi için çalışmaya devam edeceğiz. https://t.co/BoIWoHO86T"
1312391960037003264,2020-10-03 14:00:00,"Bugün açılışını gerçekleştirdiğimiz Reyhanlı Barajı’nın ülkemize, milletimize, şehrimize hayırlı olmasını diliyorum. https://t.co/2NSxqIL9Yj"
1312355503893368839,2020-10-03 11:35:09,Reyhanlı Barajı ve çeşitli projelerin açılış törenini gerçekleştiriyoruz. https://t.co/KeCU6GolV4
1312105075150475264,2020-10-02 19:00:02,"Unutulmamalıdır ki; cezasız kalan her suç, faili daha da azgınlaştırır. Hesap sorulmayan her cürüm, yeni zulümlere davetiye çıkarır. https://t.co/JI7fkpPdpB"
1312089969612083201,2020-10-02 18:00:00,"Türkiye’nin geleceği bizim çalışmamıza, değer üretmemize, hizmet üretmemize, gayret göstermemize bağlıdır. https://t.co/EXw05ptuJG"
1312059773152489474,2020-10-02 16:00:01,"Bugün resmî açılışını gerçekleştirdiğimiz Konya Şehir Hastanemizin ülkemize, milletimize, şehrimize hayırlı olmasını diliyorum. https://t.co/UYzwlaQOJ8"
1312038046062325767,2020-10-02 14:33:41,"AK Parti'mizin kurucularından, eski Bayındırlık ve İskân Bakanımız, yol ve dava arkadaşımız Zeki Ergezen beyefendinin vefatından dolayı derin üzüntü duydum.

Zeki Ergezen'e Allah’tan rahmet, ailesine ve sevenlerine başsağlığı diliyorum. Mekânı cennet olsun."
1312031908042338309,2020-10-02 14:09:17,AK Parti Konya İl Teşkilatımız ile birlikteyiz. https://t.co/hCX5jI35Xp
1312006575893217280,2020-10-02 12:28:38,Konya Şehir Hastanemizin açılışını gerçekleştiriyoruz. https://t.co/UkyE9kY61u
1311966038242873344,2020-10-02 09:47:33,"I wish a speedy recovery to U.S. President @realDonaldTrump and @FLOTUS Melania Trump, who tested positive for COVID-19.

I sincerely hope that they will overcome the quarantine period without problems and regain their health as soon as possible."
1311727583395012614,2020-10-01 18:00:01,"İşgal altındaki topraklarını kurtarma ve vatanlarını koruma mücadelelerinde, Azerbaycanlı kardeşlerimizin yanındayız. 

Bölgede kalıcı barışın yolu, Ermenistan'ın işgal ettiği her karış Azerbaycan toprağından geri çekilmesinden geçmektedir. https://t.co/NqX2JwIBb9"
1311704931594772482,2020-10-01 16:30:00,"Türkiye Büyük Millet Meclisimizin yasama alanında temsilcisi olduğu kadim ve asil duruş, evlatlarımıza bırakacağımız en kıymetli hazinedir.🇹🇷 https://t.co/LpsQgl2sQM"
1311689830670233600,2020-10-01 15:30:00,"İnşallah bu virüsü hep birlikte yenecek, hep birlikte kol kola sağlıklı, huzurlu, müreffeh, esenlik dolu bir geleceğe yürümeyi sürdüreceğiz. https://t.co/cAKlrjeaJQ"
1311686687706284040,2020-10-01 15:17:30,"RT @tcbestepe: Cumhurbaşkanı Erdoğan'ın, BM Dördüncü Kadın Konferansı'nın 25. yıl dönümü etkinliğine gönderdiği video mesajı https://t.co/R…"
1311670698964856834,2020-10-01 14:13:58,Türkiye’yi her alanda olduğu gibi ekonomide de 2023 hedeflerimize ulaştıracağız. https://t.co/S60R9vC6p0
1311664664586137600,2020-10-01 13:50:00,"Asırlarca birlikte yaşadığımız mazlum Filistin halkının her platformda haklarını dile getirmeyi, ülkemiz ve milletimiz adına bir şeref kabul ediyoruz. https://t.co/lbmIydwKZV"
1311659634185433089,2020-10-01 13:30:00,Akdeniz’de diyalog kanallarını açık tutan kararlı duruşumuzu sonuna kadar koruyacağız. https://t.co/w5V6KcsfN2
1311654598289969152,2020-10-01 13:10:00,"Sınırlarımızı terör örgütlerine ve onları maşa olarak kullananlara teslim etmedik, etmeyeceğiz. https://t.co/zV5Jz765yv"
1311649565192454145,2020-10-01 12:50:00,"Türkiye, dünyadaki aşı çalışmalarını yakından takip etmenin yanında, kendi aşısını üretme konusunda da yoğun bir gayret içindedir https://t.co/PrN8Zw5vEl"
1311644280318881792,2020-10-01 12:29:00,"Türkiye olarak, insanlığı karşı karşıya bulunduğu tehditlerden kurtaracak çözümleri gündeme getirmenin, tartışmanın ve inşallah neticeye ulaştırmanın gayreti içindeyiz. https://t.co/3gR0bDDZh5"
1311638685281062912,2020-10-01 12:06:46,"Gelişmiş ülkelerin dahi vatandaşlarını kendi hallerine terk ettiği salgın döneminde, Türkiye içeride ve dışarıda gerçekten erdemli bir duruş ortaya koymuştur. https://t.co/oSxQgu4s7e"
1311625838371246080,2020-10-01 11:15:43,TBMM 27. Dönem 4. Yasama Yılı Açılışı https://t.co/iXfX1aHEgL
1311332752483135490,2020-09-30 15:51:06,"RT @tcbestepe: Cumhurbaşkanı Erdoğan'ın, BM 75. Genel Kurulu etkinlikleri kapsamında düzenlenen Biyolojik Çeşitlilik Zirvesi’ne gönderdiği…"
1310958380555612160,2020-09-29 15:03:29,"Vefat haberinden derin üzüntü duyduğum Kuveyt Emiri Sabah el-Ahmed el-Cabir es-Sabah'a Allah’tan rahmet, Türk milleti adına dost ve kardeş Kuveyt halkına başsağlığı diliyorum."
1310957742107090945,2020-09-29 15:00:56,RT @rterdogan_ar: تلقينا ببالغ الحزن والأسى نبأ وفاة أمير دولة الكويت الشيخ صباح الأحمد الجابر الصباح، وأعرب باسم الشعب التركي عن مشاعر الت…
1310610218141626369,2020-09-28 16:00:00,"Türkiye, Akdeniz’de gerilimden değil; barıştan, iş birliğinden, hakkaniyet ve adaletten yanadır. https://t.co/kSnnnsfvtM"
1310606719588982785,2020-09-28 15:46:06,"Türkiye'nin her zaman Azerbaycan'ın yanında olduğunu güçlü bir şekilde teyit eden bu ortak bildiride imzası olan siyasi partilerimize şahsım ve Milletimiz adına teşekkür ediyor, Gazi Meclisimizi bu asil ve güçlü duruşundan dolayı gönülden tebrik ediyorum. https://t.co/HpQ6ngheQp"
1310589041499402244,2020-09-28 14:35:51,RT @trpresidency: President @RTErdogan: Turkey’s Eastern Mediterranean policies are built upon those two bases: https://t.co/oWpPxBqkvS
1310580017802379264,2020-09-28 14:00:00,Türkiye’nin Doğu Akdeniz politikası şu iki temel üzerinde yükseliyor: https://t.co/PpsipYTZBp
1310538215712059393,2020-09-28 11:13:53,Uluslararası Deniz Hukuku ve Doğu Akdeniz Sempozyumu https://t.co/WMfJvtac7v
1310172532159459330,2020-09-27 11:00:48,"Bugün yaptığımız telefon görüşmesinde dirayetli ve kararlı duruşuna bir kez daha şahit olduğum Azerbaycan Cumhurbaşkanı kardeşim İlham Aliyev'e ifade ettiğim gibi, Türkiye ""tek millet, iki devlet"" anlayışıyla, Azerbaycanlı kardeşleriyle dayanışmasını güçlendirerek sürdürecektir."
1310172187136061441,2020-09-27 10:59:25,"Ermeni halkını, kendilerini felakete sürükleyen yönetimlerine ve onları bir kukla gibi kullananlara karşı geleceklerine sahip çıkmaya davet ederken, tüm dünyaya işgale ve zulme karşı verdikleri mücadelede Azerbaycan'ın yanında yer alma çağrısı yapıyoruz."
1310171888488976387,2020-09-27 10:58:14,Ermenistan’ın tahrikkar saldırganlığı karşısında gerekli ve yeterli bir tepki ortaya koyamayan uluslararası toplum çifte standardını bir kez daha göstermektedir. Yaklaşık 30 yıldır ihmalkar tutumunu sürdüren Minsk üçlüsü de çözüm odaklı davranmaktan maalesef çok uzaktadır.
1310171569684197376,2020-09-27 10:56:58,"Azerbaycan'a yönelik saldırılarına bir yenisini ekleyen Ermenistan, bölgede barışın ve huzurun önündeki en büyük tehdit olduğunu bir kere daha göstermiştir. Türk Milleti her zaman olduğu gibi bugün de tüm imkanlarıyla Azerbaycanlı kardeşlerinin yanındadır."
1309930743955685376,2020-09-26 19:00:01,"Türkiye, kamu tarafı ve özel sektörüyle ne kadar güçlü olursa, sosyal dokusu ve ekonomisiyle ne kadar sağlam olursa, geleceğine de o derece güvenle bakacaktır. https://t.co/zfnUxH68ve"
1309908090117029888,2020-09-26 17:30:00,"Bizim medeniyetimiz, insan medeniyetidir, ilim medeniyetidir, irfan medeniyetidir, hikmet medeniyetidir. https://t.co/lYcfVcgDvI"
1309896611917631489,2020-09-26 16:44:23,Gaziantep'in Şehitkamil ilçesinde vatandaşlarımızla birlikteyiz. https://t.co/Q2QrRPBOyF
1309868678310178818,2020-09-26 14:53:23,Gaziantep'te 300 fabrikanın toplu açılış törenini gerçekleştiriyoruz. https://t.co/N5kepG6MGH
1309855244965359616,2020-09-26 14:00:00,Biz Türkiye’yi 2023 hedefleriyle buluşturmak için var gücümüzle çalışıyoruz. Gençlerimiz de inşallah 2053 ve 2071 vizyonlarıyla bu tohumları ulu çınarlara dönüştüreceklerdir. https://t.co/HBh4kJdh3a
1309836997704511489,2020-09-26 12:47:30,#TEKNOFEST2020 Gaziantep’teyiz. https://t.co/VWkmiwCT3N
1312849649296986113,2020-10-04 20:18:42,"RT @EmineErdogan: Meclisimizin, yeni yasama yılında hayvanlara haklarını eksiksiz teslim ederek tüm vicdanları rahatlatacak yasayı bir an ö…"
1312497535139766272,2020-10-03 20:59:32,"Ömrünü İslam’ı öğretmeye, anlatmaya ve ahlaklı nesiller yetiştirmeye vakfetmiş olan, İstanbul İlim ve Kültür Vakfı Başkanı Mehmet Fırıncı’ya Allah’tan rahmet, yakınlarına ve sevenlerine başsağlığı diliyorum. Mekânı cennet olsun."
1312440416722210816,2020-10-03 17:12:33,"Türk Konseyi’nin kuruluş yıl dönümünü de temsil eden 3 Ekim Türk Dili Konuşan Ülkeler İş Birliği Günü'nü gönülden tebrik ediyorum.

Türk Konseyi olarak birliğimizin, beraberliğimizin ve dayanışmamızın her alanda artarak devam etmesi için çalışmaya devam edeceğiz. https://t.co/BoIWoHO86T"
1312391960037003264,2020-10-03 14:00:00,"Bugün açılışını gerçekleştirdiğimiz Reyhanlı Barajı’nın ülkemize, milletimize, şehrimize hayırlı olmasını diliyorum. https://t.co/2NSxqIL9Yj"
1312355503893368839,2020-10-03 11:35:09,Reyhanlı Barajı ve çeşitli projelerin açılış törenini gerçekleştiriyoruz. https://t.co/KeCU6GolV4
1312105075150475264,2020-10-02 19:00:02,"Unutulmamalıdır ki; cezasız kalan her suç, faili daha da azgınlaştırır. Hesap sorulmayan her cürüm, yeni zulümlere davetiye çıkarır. https://t.co/JI7fkpPdpB"
1312089969612083201,2020-10-02 18:00:00,"Türkiye’nin geleceği bizim çalışmamıza, değer üretmemize, hizmet üretmemize, gayret göstermemize bağlıdır. https://t.co/EXw05ptuJG"
1312059773152489474,2020-10-02 16:00:01,"Bugün resmî açılışını gerçekleştirdiğimiz Konya Şehir Hastanemizin ülkemize, milletimize, şehrimize hayırlı olmasını diliyorum. https://t.co/UYzwlaQOJ8"
1312038046062325767,2020-10-02 14:33:41,"AK Parti'mizin kurucularından, eski Bayındırlık ve İskân Bakanımız, yol ve dava arkadaşımız Zeki Ergezen beyefendinin vefatından dolayı derin üzüntü duydum.

Zeki Ergezen'e Allah’tan rahmet, ailesine ve sevenlerine başsağlığı diliyorum. Mekânı cennet olsun."
1312031908042338309,2020-10-02 14:09:17,AK Parti Konya İl Teşkilatımız ile birlikteyiz. https://t.co/hCX5jI35Xp
1312006575893217280,2020-10-02 12:28:38,Konya Şehir Hastanemizin açılışını gerçekleştiriyoruz. https://t.co/UkyE9kY61u
1311966038242873344,2020-10-02 09:47:33,"I wish a speedy recovery to U.S. President @realDonaldTrump and @FLOTUS Melania Trump, who tested positive for COVID-19.

I sincerely hope that they will overcome the quarantine period without problems and regain their health as soon as possible."
1311727583395012614,2020-10-01 18:00:01,"İşgal altındaki topraklarını kurtarma ve vatanlarını koruma mücadelelerinde, Azerbaycanlı kardeşlerimizin yanındayız. 

Bölgede kalıcı barışın yolu, Ermenistan'ın işgal ettiği her karış Azerbaycan toprağından geri çekilmesinden geçmektedir. https://t.co/NqX2JwIBb9"
1311704931594772482,2020-10-01 16:30:00,"Türkiye Büyük Millet Meclisimizin yasama alanında temsilcisi olduğu kadim ve asil duruş, evlatlarımıza bırakacağımız en kıymetli hazinedir.🇹🇷 https://t.co/LpsQgl2sQM"
1311689830670233600,2020-10-01 15:30:00,"İnşallah bu virüsü hep birlikte yenecek, hep birlikte kol kola sağlıklı, huzurlu, müreffeh, esenlik dolu bir geleceğe yürümeyi sürdüreceğiz. https://t.co/cAKlrjeaJQ"
1311686687706284040,2020-10-01 15:17:30,"RT @tcbestepe: Cumhurbaşkanı Erdoğan'ın, BM Dördüncü Kadın Konferansı'nın 25. yıl dönümü etkinliğine gönderdiği video mesajı https://t.co/R…"
1311670698964856834,2020-10-01 14:13:58,Türkiye’yi her alanda olduğu gibi ekonomide de 2023 hedeflerimize ulaştıracağız. https://t.co/S60R9vC6p0
1311664664586137600,2020-10-01 13:50:00,"Asırlarca birlikte yaşadığımız mazlum Filistin halkının her platformda haklarını dile getirmeyi, ülkemiz ve milletimiz adına bir şeref kabul ediyoruz. https://t.co/lbmIydwKZV"
1311659634185433089,2020-10-01 13:30:00,Akdeniz’de diyalog kanallarını açık tutan kararlı duruşumuzu sonuna kadar koruyacağız. https://t.co/w5V6KcsfN2
1311654598289969152,2020-10-01 13:10:00,"Sınırlarımızı terör örgütlerine ve onları maşa olarak kullananlara teslim etmedik, etmeyeceğiz. https://t.co/zV5Jz765yv"
1311649565192454145,2020-10-01 12:50:00,"Türkiye, dünyadaki aşı çalışmalarını yakından takip etmenin yanında, kendi aşısını üretme konusunda da yoğun bir gayret içindedir https://t.co/PrN8Zw5vEl"
1311644280318881792,2020-10-01 12:29:00,"Türkiye olarak, insanlığı karşı karşıya bulunduğu tehditlerden kurtaracak çözümleri gündeme getirmenin, tartışmanın ve inşallah neticeye ulaştırmanın gayreti içindeyiz. https://t.co/3gR0bDDZh5"
1311638685281062912,2020-10-01 12:06:46,"Gelişmiş ülkelerin dahi vatandaşlarını kendi hallerine terk ettiği salgın döneminde, Türkiye içeride ve dışarıda gerçekten erdemli bir duruş ortaya koymuştur. https://t.co/oSxQgu4s7e"
1311625838371246080,2020-10-01 11:15:43,TBMM 27. Dönem 4. Yasama Yılı Açılışı https://t.co/iXfX1aHEgL
1311332752483135490,2020-09-30 15:51:06,"RT @tcbestepe: Cumhurbaşkanı Erdoğan'ın, BM 75. Genel Kurulu etkinlikleri kapsamında düzenlenen Biyolojik Çeşitlilik Zirvesi’ne gönderdiği…"
1310958380555612160,2020-09-29 15:03:29,"Vefat haberinden derin üzüntü duyduğum Kuveyt Emiri Sabah el-Ahmed el-Cabir es-Sabah'a Allah’tan rahmet, Türk milleti adına dost ve kardeş Kuveyt halkına başsağlığı diliyorum."
1310957742107090945,2020-09-29 15:00:56,RT @rterdogan_ar: تلقينا ببالغ الحزن والأسى نبأ وفاة أمير دولة الكويت الشيخ صباح الأحمد الجابر الصباح، وأعرب باسم الشعب التركي عن مشاعر الت…
1310610218141626369,2020-09-28 16:00:00,"Türkiye, Akdeniz’de gerilimden değil; barıştan, iş birliğinden, hakkaniyet ve adaletten yanadır. https://t.co/kSnnnsfvtM"
1310606719588982785,2020-09-28 15:46:06,"Türkiye'nin her zaman Azerbaycan'ın yanında olduğunu güçlü bir şekilde teyit eden bu ortak bildiride imzası olan siyasi partilerimize şahsım ve Milletimiz adına teşekkür ediyor, Gazi Meclisimizi bu asil ve güçlü duruşundan dolayı gönülden tebrik ediyorum. https://t.co/HpQ6ngheQp"
1310589041499402244,2020-09-28 14:35:51,RT @trpresidency: President @RTErdogan: Turkey’s Eastern Mediterranean policies are built upon those two bases: https://t.co/oWpPxBqkvS
1310580017802379264,2020-09-28 14:00:00,Türkiye’nin Doğu Akdeniz politikası şu iki temel üzerinde yükseliyor: https://t.co/PpsipYTZBp
1310538215712059393,2020-09-28 11:13:53,Uluslararası Deniz Hukuku ve Doğu Akdeniz Sempozyumu https://t.co/WMfJvtac7v
1310172532159459330,2020-09-27 11:00:48,"Bugün yaptığımız telefon görüşmesinde dirayetli ve kararlı duruşuna bir kez daha şahit olduğum Azerbaycan Cumhurbaşkanı kardeşim İlham Aliyev'e ifade ettiğim gibi, Türkiye ""tek millet, iki devlet"" anlayışıyla, Azerbaycanlı kardeşleriyle dayanışmasını güçlendirerek sürdürecektir."
1310172187136061441,2020-09-27 10:59:25,"Ermeni halkını, kendilerini felakete sürükleyen yönetimlerine ve onları bir kukla gibi kullananlara karşı geleceklerine sahip çıkmaya davet ederken, tüm dünyaya işgale ve zulme karşı verdikleri mücadelede Azerbaycan'ın yanında yer alma çağrısı yapıyoruz."
