id_str,created_at,full_text(utf-8)
1309551767571574784,2020-09-25 17:54:06,b'RT @lilimonsta: music                blackpink           fashion\nindustry                                         industry https://t.co/8c6\xe2\x80\xa6'
1309551764945940481,2020-09-25 17:54:05,b'@Himanshi__13 Nhi topi sey aacha alge hi anubhav hoga vaise aur aise bhi\xf0\x9f\x98\x89\xf0\x9f\x98\x82\xf0\x9f\xa4\x91'
1309551764681580545,2020-09-25 17:54:05,b'@ThingiKyaw Hi'
1309551764681547777,2020-09-25 17:54:05,"b'@Jyoti_Agarwal_ Hi, sorry for the inconvenience caused! Please message me with your respective Airtel number so, I can get a better hang of the situation. Thank you, Kajal https://t.co/2G23qpsqlP'"
1309551763519832065,2020-09-25 17:54:05,b'@konussevgi \xc3\x9cst\xc3\xbcme al\xc4\xb1nd\xc4\xb1m lan kavga m\xc4\xb1 istiyorsun karde\xc5\x9f sen h\xc4\xb1?'
1309551763247321088,2020-09-25 17:54:05,b'@charlidamelio hi charli  https://t.co/HctSQUiA9i'
1309551763238916098,2020-09-25 17:54:05,b'@tbsnialler hi'
1309551761947078657,2020-09-25 17:54:05,b'Hi @AskPayPal could you have a look at this please? Thanks \xf0\x9f\x98\x8a https://t.co/gwSLDfJY8Y'
1309551761225650176,2020-09-25 17:54:04,"b""Hi Library Friends.  \n\nOur first year long reading challenge starts today. Check our MJH Library Google Classroom for the information. Don't have the MJH Library Google Classroom code? Stop by the Social House and we can help you. Have fun!! @MabankISD @MabankJrHigh #mabankreads"""
1309551761166753792,2020-09-25 17:54:04,"b'I just uploaded a review of the most famous mic ever, the Blue Yeti https://t.co/la94AYcWSH #bluemicrophones #Blue #Yeti #BlueYeti'"
1309551761066274818,2020-09-25 17:54:04,b'@beingrehman11 Han apko wese bhi agay hi rakha hai larkoun ne'
1309551761003352064,2020-09-25 17:54:04,b'@Louis_Tomlinson @FreeMyMeal HI BABY'
1309551760973811713,2020-09-25 17:54:04,b'@faizzhazman @benzsuhaimi Tahu doh ih sebb tu hi jh'
