date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-07 19:45:00,JoeBiden,,2146,6342,31125,"It's not enough to just thank our essential workers — we need to pay them. As president, I’ll: - Raise the minimum wage to $15 - End the tipped minimum wage - End the sub-minimum wage for people with disabilities - Ensure everyone has strong benefits",,,,1303056694360944640,https://twitter.com/JoeBiden/status/1303056694360944640
2020-09-07 18:24:00,JoeBiden,,2603,6735,28623,"For years, President Trump and Republicans have waged a war on America's labor unions. It will end on my watch. I'll sign the PRO Act — making it easier for workers to organize and collectively bargain — and be the strongest labor president workers have ever had.",,,,1303036310177951747,https://twitter.com/JoeBiden/status/1303036310177951747
2020-09-07 14:00:01,JoeBiden,,2222,11943,47685,"Today, we honor the generations of union workers who fought for the rights, power, wages, and benefits that built and sustained the great American middle class. #LaborDay",,,#LaborDay,1302969877154668544,https://twitter.com/JoeBiden/status/1302969877154668544
2020-09-07 00:45:00,JoeBiden,,24224,35674,258636,"We need to restore honor and decency to the White House.",,,,1302769803925487616,https://twitter.com/JoeBiden/status/1302769803925487616
2020-09-07 00:20:23,JoeBiden,JoseADelgadoEND,2688,7809,32785,"Time and again, the president has refused to provide Puerto Rico with much-needed resources. He’s repeatedly insulted Puerto Ricans and this latest action is another example of his disrespect for the island. This ends when I’m elected president.",,,,1302763609194467328,https://twitter.com/JoeBiden/status/1302763609194467328
2020-09-06 22:15:00,JoeBiden,,12761,21423,97622,"Donald Trump promised to be ""the greatest jobs president God ever created."" But in reality, he's on track to become the first president in modern history to leave office with fewer jobs than when he entered. American workers can't take four more years of his failed leadership.",,,,1302732055214653441,https://twitter.com/JoeBiden/status/1302732055214653441
2020-09-06 20:30:00,JoeBiden,,2063,5863,23081,"We all want our schools to reopen — but we need to do it in a way that puts the health and safety of our students and educators first. Here's how @KamalaHarris and I will reopen our schools safely and effectively:",,@KamalaHarris,,1302705631938347009,https://twitter.com/JoeBiden/status/1302705631938347009
2020-09-06 18:30:00,JoeBiden,,6395,29259,78649,"We know what President Trump thinks of our nation's veterans. Here is what they think of him.",,,,1302675432144351234,https://twitter.com/JoeBiden/status/1302675432144351234
2020-09-06 16:45:00,JoeBiden,,16317,24328,176707,"It’s time we reward work — not just wealth.",,,,1302649007991214081,https://twitter.com/JoeBiden/status/1302649007991214081
2020-09-06 14:33:00,JoeBiden,,10262,18382,89264,"Be a patriot. Wear a mask.",,,,1302615789313417217,https://twitter.com/JoeBiden/status/1302615789313417217
2020-09-06 00:00:01,JoeBiden,,4552,6417,24584,"The economy wasn’t working for folks long before this virus hit. That’s why @KamalaHarris and I won’t just build back to the way things were — we’re going to build back better. We’re going to make sure everyone has a fair shot to get ahead.",,@KamalaHarris,,1302396094886813698,https://twitter.com/JoeBiden/status/1302396094886813698
2020-09-05 22:22:00,JoeBiden,,22514,25215,165638,"As president, I will: - Call for nationwide mask mandates - Implement widespread testing - Accelerate the development of treatments and vaccines I’m ready to work on day one to contain the spread of this virus and get our country back on track.",,,,1302371428994412544,https://twitter.com/JoeBiden/status/1302371428994412544
2020-09-05 20:32:00,JoeBiden,John_Hudson,2257,5769,22118,"Nicaraguan asylum seekers fleeing oppression deserve to have their cases heard. Instead, they’re being deported back into the tyrannical grip of Daniel Ortega without a chance to pursue their claims. President Trump’s cruelty truly knows no bounds.",,,,1302343746756005891,https://twitter.com/JoeBiden/status/1302343746756005891
2020-09-05 19:18:00,JoeBiden,KellyO,24883,39328,199397,"Mr. President, enough with the weekend golf trips and erratic tweets. It's time for you to get to work and control the spread of this virus.",,,,1302325123802824704,https://twitter.com/JoeBiden/status/1302325123802824704
2020-09-05 17:50:00,JoeBiden,,5023,18968,50435,"Our nation’s veterans speak for themselves.",,,,1302302977953271808,https://twitter.com/JoeBiden/status/1302302977953271808
2020-09-05 00:00:00,JoeBiden,,7765,8176,38234,"Every day Donald Trump proves how morally unfit he is to lead our nation. In 60 days, we have to vote him out.",,,,1302033703539937285,https://twitter.com/JoeBiden/status/1302033703539937285
2020-09-04 21:09:09,JoeBiden,,1529,6049,29809,"The fact is we're more than six months into this pandemic, and: - 11.5 million Americans don't have their jobs back - Almost 30 million are on unemployment - We're down 720,000 manufacturing jobs - Nearly 1 in 6 small businesses have closed their doors",,,,1301990709910794243,https://twitter.com/JoeBiden/status/1301990709910794243
